"start","obj","grad","model"
"start09",2471.02407424559,1.29713933767761e-06,"S1_sexswap"
"start11",2504.60149487054,4.54424995827229e-05,"S1_sexswap"
"start15",2684.88229291461,0.000188093038752351,"S1_sexswap"
"start08",3613.72382451131,1.58003330321369e-05,"S1_sexswap"
"start13",4277.4197617318,3.46893465645739e-05,"S1_sexswap"
"start12",5450.9553832375,2.91285125898155e-05,"S1_sexswap"
"start06",5450.95538323783,0.000304304023421322,"S1_sexswap"
"start11",1664.04476722264,0.000109321430766236,"S2_mwswap"
"start19",1664.04476722264,9.44777433202828e-05,"S2_mwswap"
"start07",1664.13165393883,9.59415332182682e-05,"S2_mwswap"
"start10",1664.13165393883,0.000410753020937527,"S2_mwswap"
"start12",1665.10042603591,0.000825106218264056,"S2_mwswap"
"start16",1665.10042603591,3.73046272345237e-06,"S2_mwswap"
"startWarm",1665.18298427665,2.00067453305852e-05,"S2_mwswap"
"start02",1665.18298427665,4.73063791230195e-05,"S2_mwswap"
"start05",1665.18298427665,1.52668540924778e-06,"S2_mwswap"
"start06",1665.18298427665,2.69579948475597e-05,"S2_mwswap"
"start17",1681.3562692042,5.21576095264878e-06,"S2_mwswap"
"start01",1681.40803258121,1.68506964783722e-05,"S2_mwswap"
"start04",1681.40803258121,1.78369842151363e-05,"S2_mwswap"
"start14",1684.22252739718,3.5470258997716e-05,"S2_mwswap"
"start13",1707.51278223573,4.93909465777241e-05,"S2_mwswap"
"start09",1809.0610039332,0.00021361084697591,"S2_mwswap"
"start18",2303.62829697532,0.000241061648401782,"S2_mwswap"
"start00",2309.13839309425,1.79657134144253e-05,"S2_mwswap"
"start08",2942.17028478331,0.000222039632928442,"S2_mwswap"
"start03",2943.19783026121,0.000172647749135611,"S2_mwswap"
"start15",2945.74502868525,3.67501228273769e-06,"S2_mwswap"
"start20",5535.06756405721,0.000135125814005968,"S2_mwswap"
"start00",1852.15716756087,2.81244925293126e-07,"D1_commonsel"
"start01",1852.15716756087,1.91187713959942e-05,"D1_commonsel"
"start02",1852.15716756087,2.25590017495361e-07,"D1_commonsel"
"start04",1852.15716756087,3.16158682419336e-05,"D1_commonsel"
"start05",1852.15716756087,3.6697999749153e-05,"D1_commonsel"
"start06",1852.15716756087,2.62680125848958e-07,"D1_commonsel"
"start07",1852.15716756087,5.14507097043604e-07,"D1_commonsel"
"start12",1852.15716756087,3.80955709334656e-07,"D1_commonsel"
"start17",1852.15716756087,3.25893667479195e-07,"D1_commonsel"
"start19",1852.15716756087,3.05591607718375e-07,"D1_commonsel"
"start20",1852.15716756087,3.13137716783241e-07,"D1_commonsel"
"start03",1852.98770376381,3.18505111868292e-07,"D1_commonsel"
"start08",1852.98770376381,1.89164137286651e-07,"D1_commonsel"
"start09",1852.98770376381,1.70320444972463e-05,"D1_commonsel"
"start10",1852.98770376381,3.30997409118092e-07,"D1_commonsel"
"start11",1852.98770376381,4.65352904987482e-06,"D1_commonsel"
"start13",1852.98770376381,1.08945003301562e-05,"D1_commonsel"
"start15",1852.98770376381,2.99041399915403e-06,"D1_commonsel"
"start16",1852.98770376381,1.05375131058778e-06,"D1_commonsel"
"start18",1852.98770376381,1.28646017819126e-05,"D1_commonsel"
"start14",1853.54590664027,9.70778791878625e-05,"D1_commonsel"
"start12",1434.23245723255,0.000783619998747245,"D2_nodiscardlen"
"start02",1434.71591471342,4.50020016487489e-05,"D2_nodiscardlen"
"start17",1434.71591471342,7.16479352863422e-06,"D2_nodiscardlen"
"start19",1434.71591471342,1.86434609900356e-05,"D2_nodiscardlen"
"startWarm",1434.99087618833,0.000266901491561143,"D2_nodiscardlen"
